Game ID,Week,Team,Opponent,Home/Away,Final Score,Opponent Score,Total Yards,Total Plays,EPA/Play,Pass Completions,Pass Attempts,Pass Yards,EPA/Pass,Rush Attempts,Rush Yards,EPA/Rush,First Downs,Third Down Conversions,Third Down Attempts,Interceptions Thrown,Fumbles Lost,Sacks Taken,Sack Yards,Sack EPA,Penalties,Penalty Yards,Penalty EPA
2026_02_CIN_HOU,2,HOU,CIN,Home,6,20,374,78,-0.248,30,60,314,-0.161,18,60,-0.538,18,5,17,0,0,4,-39,-7.15,9,83,-6.18
2026_02_CLE_TB,2,CLE,TB,Away,23,19,267,55,0.009,24,32,223,0.324,23,44,-0.429,14,5,13,0,0,2,-15,-2.21,6,50,-1.36
2026_02_CLE_TB,2,TB,CLE,Home,19,23,313,62,-0.146,21,37,176,-0.367,25,137,0.18,16,7,16,1,0,3,-6,-3.02,6,62,-1.09
2026_02_DET_BUF,2,BUF,DET,Home,41,31,446,69,0.36,20,33,243,0.456,36,203,0.272,31,9,12,0,0,2,-5,-1.78,5,46,3.4
2026_02_DET_BUF,2,DET,BUF,Away,31,41,355,62,0.232,26,42,289,0.442,20,66,-0.208,22,4,11,0,0,4,-38,-7.67,10,58,4.41
2026_02_GB_NYJ,2,GB,NYJ,Away,20,17,199,50,-0.222,16,32,136,-0.099,18,63,-0.441,12,1,9,0,1,3,-9,-1.59,14,133,3.2
2026_02_GB_NYJ,2,NYJ,GB,Home,17,20,285,72,-0.105,27,45,218,0.095,27,67,-0.439,19,8,19,0,0,4,-29,-5.05,13,156,8.8
2026_02_IND_KC,2,IND,KC,Away,30,33,329,63,0.154,22,31,210,0.19,32,119,0.12,21,5,12,1,0,0,0,0.0,5,30,-2.83
2026_02_IND_KC,2,KC,IND,Home,33,30,523,78,0.229,32,49,371,0.274,29,152,0.153,29,5,13,0,0,2,-11,-1.96,8,86,4.1
2026_02_JAX_DEN,2,DEN,JAX,Home,20,13,392,59,0.062,22,31,288,0.272,28,104,-0.171,20,4,11,1,0,0,0,0.0,10,53,-0.28
2026_02_JAX_DEN,2,JAX,DEN,Away,13,20,268,55,-0.048,17,31,173,-0.133,24,95,0.062,19,5,12,1,0,2,-16,-3.97,3,18,0.96
2026_02_LV_LAC,2,LAC,LV,Home,14,26,310,62,-0.261,15,30,183,-0.019,32,127,-0.488,15,5,14,2,1,3,-9,-3.25,8,45,-4.35
2026_02_LV_LAC,2,LV,LAC,Away,26,14,305,60,-0.126,19,31,248,0.193,29,57,-0.466,13,4,14,1,0,2,-5,-2.37,6,42,0.58
2026_02_MIA_SF,2,MIA,SF,Away,13,35,284,56,-0.001,14,27,182,0.165,29,102,-0.156,12,7,15,0,0,4,-15,-4.4,7,50,-3.87
2026_02_MIA_SF,2,SF,MIA,Home,35,13,382,49,0.442,20,22,287,1.06,27,95,-0.063,22,5,7,0,0,0,0,0.0,7,78,-3.29
2026_02_MIN_CHI,2,CHI,MIN,Home,3,9,297,70,-0.126,20,39,163,-0.1,31,134,-0.16,17,5,15,1,1,4,-29,-4.65,8,58,-4.83
