Defense,Position,Games Played,Players Faced,Pass Yards Allowed,Pass TD Allowed,Interceptions Forced,Rush Attempts Allowed,Rush Yards Allowed,Rush TD Allowed,Targets Allowed,Receptions Allowed,Receiving Yards Allowed,Receiving TD Allowed,PPR Points Allowed,Pass Yards Allowed Per Game,Pass TD Allowed Per Game,Interceptions Forced Per Game,Rush Attempts Allowed Per Game,Rush Yards Allowed Per Game,Rush TD Allowed Per Game,Targets Allowed Per Game,Receptions Allowed Per Game,Receiving Yards Allowed Per Game,Receiving TD Allowed Per Game,PPR Points Allowed Per Game,PPR Points Allowed Rank,Matchup Label
CAR,WR,1,4,0,0,0,1,2,0,18,16,200,1,42.2,0.0,0.0,0.0,1.0,2.0,0.0,18.0,16.0,200.0,1.0,42.2,6,WR vs CAR
HOU,WR,1,4,0,0,0,0,0,0,17,11,185,2,41.5,0.0,0.0,0.0,0.0,0.0,0.0,17.0,11.0,185.0,2.0,41.5,7,WR vs HOU
BUF,WR,1,5,0,0,0,1,7,0,21,14,193,1,40.0,0.0,0.0,0.0,1.0,7.0,0.0,21.0,14.0,193.0,1.0,40.0,8,WR vs BUF
IND,WR,1,5,0,0,0,0,0,0,14,9,229,1,37.9,0.0,0.0,0.0,0.0,0.0,0.0,14.0,9.0,229.0,1.0,37.9,9,WR vs IND
NO,WR,1,3,0,0,0,0,0,0,24,14,112,2,37.2,0.0,0.0,0.0,0.0,0.0,0.0,24.0,14.0,112.0,2.0,37.2,10,WR vs NO
PHI,WR,1,5,0,0,0,0,0,0,20,11,137,2,36.699999999999996,0.0,0.0,0.0,0.0,0.0,0.0,20.0,11.0,137.0,2.0,36.7,11,WR vs PHI
NE,WR,1,3,0,0,0,0,0,0,17,11,161,1,33.1,0.0,0.0,0.0,0.0,0.0,0.0,17.0,11.0,161.0,1.0,33.1,12,WR vs NE
LAC,WR,1,3,0,0,0,0,0,0,18,14,164,0,30.4,0.0,0.0,0.0,0.0,0.0,0.0,18.0,14.0,164.0,0.0,30.4,13,WR vs LAC
GB,WR,1,3,0,0,0,0,0,0,12,8,92,2,29.2,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,92.0,2.0,29.2,14,WR vs GB
NYG,WR,1,5,0,0,0,1,0,0,20,12,112,1,29.2,0.0,0.0,0.0,1.0,0.0,0.0,20.0,12.0,112.0,1.0,29.2,14,WR vs NYG
TEN,WR,1,5,0,0,0,0,0,0,13,11,176,0,28.6,0.0,0.0,0.0,0.0,0.0,0.0,13.0,11.0,176.0,0.0,28.6,16,WR vs TEN
JAX,WR,1,3,0,0,0,3,15,0,13,8,128,1,28.3,0.0,0.0,0.0,3.0,15.0,0.0,13.0,8.0,128.0,1.0,28.3,17,WR vs JAX
ARI,WR,1,4,0,0,0,0,0,0,20,10,119,1,27.9,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,119.0,1.0,27.9,18,WR vs ARI
NYJ,WR,1,4,0,0,0,0,0,0,16,11,94,1,26.4,0.0,0.0,0.0,0.0,0.0,0.0,16.0,11.0,94.0,1.0,26.4,19,WR vs NYJ
LV,WR,1,4,0,0,0,0,0,0,19,9,172,0,26.200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,19.0,9.0,172.0,0.0,26.2,20,WR vs LV
WSH,WR,1,3,0,0,0,0,0,0,14,8,121,1,26.1,0.0,0.0,0.0,0.0,0.0,0.0,14.0,8.0,121.0,1.0,26.1,21,WR vs WSH
CIN,WR,1,4,0,0,0,2,-1,0,14,12,139,0,25.8,0.0,0.0,0.0,2.0,-1.0,0.0,14.0,12.0,139.0,0.0,25.8,22,WR vs CIN
BAL,WR,1,5,0,0,0,0,0,0,18,12,130,0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,12.0,130.0,0.0,25.0,23,WR vs BAL
MIA,WR,1,5,0,0,0,1,-8,0,16,9,83,1,22.5,0.0,0.0,0.0,1.0,-8.0,0.0,16.0,9.0,83.0,1.0,22.5,24,WR vs MIA
ATL,WR,1,3,0,0,0,0,0,0,19,10,124,0,22.4,0.0,0.0,0.0,0.0,0.0,0.0,19.0,10.0,124.0,0.0,22.4,25,WR vs ATL
DAL,WR,1,3,0,0,0,0,0,0,15,10,121,0,22.1,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,121.0,0.0,22.1,26,WR vs DAL
SEA,WR,1,4,0,0,0,0,0,0,19,12,97,0,21.7,0.0,0.0,0.0,0.0,0.0,0.0,19.0,12.0,97.0,0.0,21.7,27,WR vs SEA
SF,WR,1,4,0,0,0,0,0,0,17,9,108,0,19.8,0.0,0.0,0.0,0.0,0.0,0.0,17.0,9.0,108.0,0.0,19.8,28,WR vs SF
TB,WR,1,4,0,0,0,1,10,0,14,8,101,0,19.1,0.0,0.0,0.0,1.0,10.0,0.0,14.0,8.0,101.0,0.0,19.1,29,WR vs TB
PIT,WR,1,3,0,0,0,1,6,0,8,4,53,0,9.9,0.0,0.0,0.0,1.0,6.0,0.0,8.0,4.0,53.0,0.0,9.9,30,WR vs PIT
