Player,Team,Position,Pass Yards,Pass TD,Interceptions,Rush Yards,Rush TD,Receptions,Receiving Yards,Receiving TD
Malachi Fields,NYG,WR,0.0,0.0,0.0,0.0,0.0,2.0,25.0,0.0
Malik Benson,LV,WR,0.0,0.0,0.0,-8.0,0.0,1.0,6.0,0.0
Malik Nabers,NYG,WR,0.0,0.0,0.0,0.0,0.0,6.0,69.0,0.0
Malik Washington,MIA,WR,0.0,0.0,0.0,0.0,0.0,3.0,53.0,0.0
Malik Willis,MIA,QB,220.0,0.0,1.0,39.0,1.0,0.0,0.0,0.0
MarShawn Lloyd,GB,RB,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0
Mark Andrews,BAL,TE,0.0,0.0,0.0,0.0,0.0,4.0,49.0,0.0
Marlin Klein,HOU,TE,0.0,0.0,0.0,0.0,0.0,1.0,16.0,0.0
Marvin Harrison Jr.,ARI,WR,0.0,0.0,0.0,0.0,0.0,1.0,33.0,0.0
Mason Taylor,NYJ,TE,0.0,0.0,0.0,0.0,0.0,2.0,-2.0,0.0
Matthew Golden,GB,WR,0.0,0.0,0.0,0.0,0.0,6.0,95.0,0.0
Matthew Hibner,BAL,TE,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0
Matthew Stafford,LAR,QB,155.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0
Michael Mayer,LV,TE,0.0,0.0,0.0,0.0,0.0,6.0,32.0,0.0
Michael Pittman Jr.,PIT,WR,0.0,0.0,0.0,0.0,0.0,3.0,58.0,0.0
Michael Wilson,ARI,WR,0.0,0.0,0.0,0.0,0.0,5.0,56.0,0.0
Mike Evans,SF,WR,0.0,0.0,0.0,0.0,0.0,6.0,49.0,1.0
Mike Gesicki,CIN,TE,0.0,0.0,0.0,0.0,0.0,5.0,78.0,1.0
Mike Washington Jr.,LV,RB,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0
Mitchell Evans,CAR,TE,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0
Nate Boerkircher,JAX,TE,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0
Nick Mullens,JAX,QB,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0
