Player,Team,Position,Stat,Current Total,Milestone,Remaining
Najee Harris,NYG,RB,Rush Yards,4318,5000,682
Luke Schoonmaker,DAL,TE,Receiving Yards,318,1000,682
Malik Willis,MIA,QB,Pass Yards,1317,2000,683
Jordan Mason,MIN,RB,Rush Yards,1312,2000,688
Keenan Allen,IND,WR,Receiving Yards,11311,12000,689
Saquon Barkley,PHI,RB,Rush Yards,7308,8000,692
Jerry Jeudy,CLE,WR,Receiving Yards,4308,5000,692
Nico Collins,HOU,WR,Receiving Yards,3305,4000,695
Chase Brown,CIN,RB,Rush Yards,1305,2000,695
Devin Singletary,NYG,RB,Receiving Yards,1305,2000,695
Laquon Treadwell,IND,WR,Receiving Yards,1303,2000,697
Jordan Whittington,LAR,WR,Receiving Yards,301,1000,699
Jameis Winston,NYG,QB,Rush Yards,1298,2000,702
Marcus Mariota,WSH,QB,Pass Yards,16295,17000,705
Troy Franklin,DEN,WR,Receiving Yards,290,1000,710
Dawson Knox,BUF,TE,Receiving Yards,2289,3000,711
Charlie Kolar,LAC,TE,Receiving Yards,288,1000,712
Jahan Dotson,ATL,WR,Receiving Yards,1287,2000,713
Baker Mayfield,TB,QB,Pass Yards,25286,26000,714
Darnell Washington,PIT,TE,Receiving Yards,286,1000,714
Patrick Mahomes,KC,QB,Rush Yards,2283,3000,717
Chris Rodriguez Jr.,JAX,RB,Rush Yards,283,1000,717
Jayden Reed,GB,WR,Rush Yards,282,1000,718
Chuba Hubbard,CAR,RB,Rush Yards,3277,4000,723
Rachaad White,WSH,RB,Receiving Yards,1277,2000,723
Xavier Hutchinson,HOU,WR,Receiving Yards,276,1000,724
Malik Nabers,NYG,WR,Receiving Yards,1274,2000,726
Jeremy Ruckert,NYJ,TE,Receiving Yards,273,1000,727
Jaylen Waddle,DEN,WR,Receiving Yards,4269,5000,731
Pat Freiermuth,PIT,TE,Receiving Yards,2268,3000,732
Ronnie Rivers,LAR,RB,Rush Yards,268,1000,732
Ladd McConkey,LAC,WR,Receiving Yards,1266,2000,734
Baker Mayfield,TB,QB,Rush Yards,1260,2000,740
Jaylen Wright,MIA,RB,Rush Yards,259,1000,741
Bucky Irving,TB,RB,Rush Yards,1256,2000,744
Jaxson Dart,NYG,QB,Pass Yards,250,1000,750
Trevor Lawrence,JAX,QB,Pass Yards,14249,15000,751
Justin Herbert,LAC,QB,Rush Yards,1248,2000,752
Lamar Jackson,BAL,QB,Rush Yards,6247,7000,753
De'Von Achane,MIA,RB,Receiving Yards,246,1000,754
Deebo Samuel Sr.,SF,WR,Rush Yards,241,1000,759
Jaleel McLaughlin,CLE,RB,Receiving Yards,236,1000,764
Josh Allen,BUF,QB,Rush Yards,4234,5000,766
Durham Smythe,BAL,TE,Receiving Yards,1232,2000,768
AJ Dillon,CAR,RB,Receiving Yards,223,1000,777
Emari Demercado,DAL,RB,Receiving Yards,223,1000,777
Mason Rudolph,PIT,QB,Rush Yards,206,1000,794
Ryan Miller,MIA,WR,Receiving Yards,205,1000,795
Jonathan Taylor,IND,RB,Rush Yards,6203,7000,797
Deshaun Watson,CLE,QB,Rush Yards,2202,3000,798
Austin Hooper,ATL,TE,Receiving Yards,4198,5000,802
Jalen Hurts,PHI,QB,Rush Yards,3195,4000,805
Kenneth Walker III,KC,RB,Rush Yards,1195,2000,805
Bo Nix,DEN,QB,Pass Yards,4194,5000,806
Daniel Jones,IND,QB,Rush Yards,2193,3000,807
James Cook III,BUF,RB,Rush Yards,192,1000,808
Ray Davis,BUF,RB,Receiving Yards,189,1000,811
Michael Wilson,ARI,WR,Receiving Yards,1187,2000,813
Justice Hill,BAL,RB,Rush Yards,1186,2000,814
Amon-Ra St. Brown,DET,WR,Rush Yards,186,1000,814
Darren Waller,CAR,TE,Receiving Yards,4185,5000,815
DeVonta Smith,PHI,WR,Receiving Yards,4181,5000,819
Derius Davis,LAC,WR,Receiving Yards,178,1000,822
Tetairoa McMillan,CAR,WR,Receiving Yards,176,1000,824
Kendrick Bourne,ARI,WR,Rush Yards,174,1000,826
Stefon Diggs,WSH,WR,Rush Yards,170,1000,830
Nate Adkins,DEN,TE,Receiving Yards,169,1000,831
Dallas Goedert,PHI,TE,Receiving Yards,4166,5000,834
Quentin Johnston,LAC,WR,Receiving Yards,1166,2000,834
Charlie Woerner,ATL,TE,Receiving Yards,166,1000,834
Rhamondre Stevenson,NE,RB,Rush Yards,3160,4000,840
Marcus Mariota,WSH,QB,Rush Yards,2159,3000,841
Braelon Allen,NYJ,RB,Receiving Yards,156,1000,844
Jonathan Taylor,IND,RB,Receiving Yards,1154,2000,846
Davis Allen,LAR,TE,Receiving Yards,154,1000,846
Denzel Boston,CLE,WR,Receiving Yards,154,1000,846
Matthew Golden,GB,WR,Receiving Yards,153,1000,847
Quintin Morris,JAX,TE,Receiving Yards,153,1000,847
Ashton Jeanty,LV,RB,Rush Yards,150,1000,850
Kendre Miller,NO,RB,Receiving Yards,150,1000,850
Rachaad White,WSH,RB,Rush Yards,2149,3000,851
Najee Harris,NYG,RB,Receiving Yards,1149,2000,851
Kyle Monangai,CHI,RB,Rush Yards,147,1000,853
Ryan Flournoy,DAL,WR,Receiving Yards,147,1000,853
Chris Brooks,GB,RB,Rush Yards,146,1000,854
Aaron Jones Sr.,MIN,RB,Rush Yards,145,1000,855
Dontayvion Wicks,PHI,WR,Receiving Yards,1143,2000,857
Tucker Kraft,GB,TE,Receiving Yards,1142,2000,858
Calvin Ridley,TEN,WR,Rush Yards,140,1000,860
Derius Davis,LAC,WR,Rush Yards,140,1000,860
Cooper Kupp,SEA,WR,Rush Yards,139,1000,861
Mack Hollins,NE,WR,Receiving Yards,2138,3000,862
Omarion Hampton,LAC,RB,Rush Yards,137,1000,863
Keaton Mitchell,LAC,RB,Receiving Yards,136,1000,864
KaVontae Turpin,DAL,WR,Receiving Yards,135,1000,865
Puka Nacua,LAR,WR,Rush Yards,135,1000,865
Jalen Hurts,PHI,QB,Pass Yards,15134,16000,866
Bhayshul Tuten,JAX,RB,Rush Yards,131,1000,869
Cade Stover,HOU,TE,Receiving Yards,131,1000,869
Jameson Williams,DET,WR,Rush Yards,130,1000,870
Kalif Raymond,CHI,WR,Rush Yards,130,1000,870
Rashid Shaheed,SEA,WR,Rush Yards,127,1000,873
Jonnu Smith,GB,TE,Rush Yards,126,1000,874
Drake London,ATL,WR,Receiving Yards,3122,4000,878
Jordan Mason,MIN,RB,Receiving Yards,122,1000,878
Tre Tucker,LV,WR,Rush Yards,121,1000,879
Cam Skattebo,NYG,RB,Rush Yards,117,1000,883
Christian Watson,GB,WR,Rush Yards,114,1000,886
Caleb Douglas,MIA,WR,Receiving Yards,113,1000,887
Keenan Allen,IND,WR,Rush Yards,113,1000,887
Zay Flowers,BAL,WR,Rush Yards,112,1000,888
KaVontae Turpin,DAL,WR,Rush Yards,111,1000,889
Will Shipley,PHI,RB,Rush Yards,110,1000,890
Antonio Williams,WSH,WR,Receiving Yards,108,1000,892
Jacory Croskey-Merritt,WSH,RB,Rush Yards,106,1000,894
Jadarian Price,SEA,RB,Rush Yards,104,1000,896
Wan'Dale Robinson,TEN,WR,Rush Yards,104,1000,896
Xavier Worthy,KC,WR,Rush Yards,104,1000,896
Cody White,LV,WR,Receiving Yards,103,1000,897
Brevyn Spann-Ford,DAL,TE,Receiving Yards,102,1000,898
Tyson Bagent,CHI,QB,Rush Yards,102,1000,898
Jakobi Meyers,JAX,WR,Pass Yards,100,1000,900
Demarcus Robinson,SF,WR,Receiving Yards,3097,4000,903
Ashton Dulin,IND,WR,Rush Yards,96,1000,904
Luther Burden III,CHI,WR,Receiving Yards,95,1000,905
Evan Engram,DEN,TE,Rush Yards,93,1000,907
Trevor Lawrence,JAX,QB,Rush Yards,1092,2000,908
Justin Jefferson,MIN,WR,Pass Yards,91,1000,909
Kaelon Black,SF,RB,Rush Yards,90,1000,910
Ronnie Rivers,LAR,RB,Receiving Yards,90,1000,910
Tyler Badie,DEN,RB,Rush Yards,87,1000,913
Chris Godwin Jr.,TB,WR,Receiving Yards,86,1000,914
Christian McCaffrey,SF,RB,Pass Yards,84,1000,916
Courtland Sutton,DEN,WR,Pass Yards,84,1000,916
Jaylin Noel,HOU,WR,Receiving Yards,84,1000,916
Noah Gray,KC,TE,Receiving Yards,1082,2000,918
Blake Whiteheart,CLE,TE,Receiving Yards,82,1000,918
Brian Robinson Jr.,ATL,RB,Rush Yards,82,1000,918
Brian Thomas Jr.,JAX,WR,Receiving Yards,80,1000,920
Elic Ayomanor,TEN,WR,Receiving Yards,80,1000,920
Emeka Egbuka,TB,WR,Receiving Yards,79,1000,921
Davante Adams,LAR,WR,Receiving Yards,12077,13000,923
Joshua Palmer,BUF,WR,Receiving Yards,77,1000,923
Jakobi Meyers,JAX,WR,Rush Yards,76,1000,924
Kyle Williams,NE,WR,Rush Yards,76,1000,924
TreVeyon Henderson,NE,RB,Rush Yards,76,1000,924
Bo Melton,GB,WR,Rush Yards,75,1000,925
Harold Fannin Jr.,CLE,TE,Receiving Yards,75,1000,925
Ian Thomas,LV,TE,Receiving Yards,1073,2000,927
Terry McLaurin,WSH,WR,Rush Yards,73,1000,927
Tre' Harris,LAC,WR,Receiving Yards,73,1000,927
MarShawn Lloyd,GB,RB,Rush Yards,72,1000,928
Tutu Atwell,LAR,WR,Rush Yards,72,1000,928
Blake Corum,LAR,RB,Receiving Yards,71,1000,929
Emanuel Wilson,SEA,RB,Receiving Yards,71,1000,929
George Kittle,SF,TE,Rush Yards,71,1000,929
KC Concepcion,CLE,WR,Receiving Yards,71,1000,929
Travis Etienne Jr.,NO,RB,Rush Yards,71,1000,929
A.J. Brown,NE,WR,Rush Yards,70,1000,930
Jeremiyah Love,ARI,RB,Rush Yards,70,1000,930
Chris Moore,BAL,WR,Rush Yards,69,1000,931
Devontez Walker,BAL,WR,Receiving Yards,68,1000,932
T.J. Hockenson,MIN,TE,Receiving Yards,4067,5000,933
Zay Flowers,BAL,WR,Receiving Yards,2067,3000,933
Tyquan Thornton,KC,WR,Rush Yards,67,1000,933
Jonathon Brooks,CAR,RB,Receiving Yards,66,1000,934
Treylon Burks,WSH,WR,Rush Yards,66,1000,934
Carnell Tate,TEN,WR,Receiving Yards,65,1000,935
Tank Bigsby,PHI,RB,Receiving Yards,65,1000,935
Emmett Johnson,KC,RB,Receiving Yards,64,1000,936
Antonio Williams,WSH,WR,Rush Yards,63,1000,937
Ted Hurst III,TB,WR,Receiving Yards,63,1000,937
Marcus Mariota,WSH,QB,Receiving Yards,62,1000,938
Sione Vaki,DET,RB,Receiving Yards,61,1000,939
Amon-Ra St. Brown,DET,WR,Receiving Yards,5060,6000,940
Ashton Jeanty,LV,RB,Receiving Yards,60,1000,940
Darnell Mooney,NYG,WR,Rush Yards,59,1000,941
Jack Strand,ATL,QB,Pass Yards,59,1000,941
Michael Pittman Jr.,PIT,WR,Receiving Yards,58,1000,942
Ja'Marr Chase,CIN,WR,Rush Yards,55,1000,945
Malachi Fields,NYG,WR,Receiving Yards,55,1000,945
Jaxson Dart,NYG,QB,Rush Yards,54,1000,946
Quinshon Judkins,CLE,RB,Rush Yards,54,1000,946
Roman Wilson,PIT,WR,Receiving Yards,54,1000,946
Terrance Ferguson,LAR,TE,Receiving Yards,54,1000,946
Jaylen Waddle,DEN,WR,Rush Yards,53,1000,947
A.J. Brown,NE,WR,Receiving Yards,7052,8000,948
George Holani,SEA,RB,Rush Yards,52,1000,948
Jonathon Brooks,CAR,RB,Rush Yards,52,1000,948
Dareke Young,LV,WR,Receiving Yards,51,1000,949
Bryce Lance,NO,WR,Receiving Yards,50,1000,950
Tyler Badie,DEN,RB,Receiving Yards,50,1000,950
Woody Marks,HOU,RB,Rush Yards,50,1000,950
Keenan Allen,IND,WR,Pass Yards,49,1000,951
Tez Johnson,TB,WR,Receiving Yards,49,1000,951
Xavier Hutchinson,HOU,WR,Rush Yards,49,1000,951
Jack Bech,LV,WR,Receiving Yards,48,1000,952
Mike Washington Jr.,LV,RB,Rush Yards,48,1000,952
Will Shipley,PHI,RB,Receiving Yards,48,1000,952
Isaiah Williams,NYJ,WR,Receiving Yards,47,1000,953
Skyy Moore,GB,WR,Rush Yards,47,1000,953
Jared Wayne,HOU,WR,Receiving Yards,45,1000,955
Cooper Rush,ATL,QB,Rush Yards,44,1000,956
Quinshon Judkins,CLE,RB,Receiving Yards,44,1000,956
Adam Trautman,DEN,TE,Receiving Yards,1043,2000,957
Jerry Jeudy,CLE,WR,Rush Yards,43,1000,957
Pat Bryant,DEN,WR,Receiving Yards,42,1000,958
Gunnar Helm,TEN,TE,Receiving Yards,41,1000,959
Kaytron Allen,WSH,RB,Rush Yards,40,1000,960
Mack Hollins,NE,WR,Rush Yards,40,1000,960
Emmett Johnson,KC,RB,Rush Yards,39,1000,961
Jonah Coleman,DEN,RB,Rush Yards,39,1000,961
Kenyon Sadiq,NYJ,TE,Receiving Yards,38,1000,962
Travis Etienne Jr.,NO,RB,Receiving Yards,38,1000,962
Ameer Abdullah,JAX,RB,Rush Yards,2037,3000,963
Bam Knight,ARI,RB,Rush Yards,37,1000,963
Derrick Henry,BAL,RB,Pass Yards,37,1000,963
Dyami Brown,WSH,WR,Rush Yards,37,1000,963
George Pickens,DAL,WR,Rush Yards,36,1000,964
Xavier Smith,LAR,WR,Rush Yards,36,1000,964
Jaxon Smith-Njigba,SEA,WR,Receiving Yards,2035,3000,965
Germie Bernard,PIT,WR,Receiving Yards,35,1000,965
Jaxon Smith-Njigba,SEA,WR,Pass Yards,35,1000,965
Kyle Monangai,CHI,RB,Receiving Yards,35,1000,965
Ben Sinnott,WSH,TE,Receiving Yards,34,1000,966
Tyler Warren,IND,TE,Receiving Yards,34,1000,966
Marvin Harrison Jr.,ARI,WR,Receiving Yards,33,1000,967
Eli Raridon,NE,TE,Receiving Yards,32,1000,968
Kaleb Johnson,GB,RB,Rush Yards,32,1000,968
Raheim Sanders,CLE,RB,Receiving Yards,32,1000,968
Justin Jefferson,MIN,WR,Rush Yards,31,1000,969
Tyler Shough,NO,QB,Rush Yards,31,1000,969
Omar Cooper Jr.,NYJ,WR,Receiving Yards,30,1000,970
DeMario Douglas,NE,WR,Receiving Yards,29,1000,971
LaJohntay Wester,BAL,WR,Receiving Yards,29,1000,971
Malik Washington,MIA,WR,Rush Yards,29,1000,971
Cam Ward,TEN,QB,Rush Yards,28,1000,972
Sione Vaki,DET,RB,Rush Yards,28,1000,972
Tee Higgins,CIN,WR,Rush Yards,28,1000,972
Ben Skowronek,PIT,WR,Rush Yards,26,1000,974
Darius Cooper,PHI,WR,Receiving Yards,26,1000,974
Darren Waller,CAR,TE,Rush Yards,26,1000,974
Isaac TeSlaa,DET,WR,Receiving Yards,26,1000,974
Jaxon Smith-Njigba,SEA,WR,Rush Yards,26,1000,974
Chris Bell,MIA,WR,Receiving Yards,25,1000,975
Jeremiyah Love,ARI,RB,Receiving Yards,25,1000,975
Kendrick Bourne,ARI,WR,Pass Yards,25,1000,975
Kenny Gainwell,TB,RB,Rush Yards,25,1000,975
Woody Marks,HOU,RB,Receiving Yards,25,1000,975
Kyler Murray,MIN,QB,Rush Yards,3024,4000,976
Adonai Mitchell,NYJ,WR,Pass Yards,24,1000,976
Xavier Legette,CAR,WR,Rush Yards,24,1000,976
Chris Blair,ATL,WR,Receiving Yards,23,1000,977
Demarcus Robinson,SF,WR,Rush Yards,23,1000,977
RJ Harvey,DEN,RB,Receiving Yards,23,1000,977
Drake London,ATL,WR,Pass Yards,22,1000,978
Jordan Addison,MIN,WR,Rush Yards,22,1000,978
Mitchell Evans,CAR,TE,Receiving Yards,22,1000,978
Quentin Johnston,LAC,WR,Rush Yards,22,1000,978
AJ Barner,SEA,TE,Receiving Yards,21,1000,979
Courtland Sutton,DEN,WR,Rush Yards,21,1000,979
Omarion Hampton,LAC,RB,Receiving Yards,21,1000,979
DJ Moore,BUF,WR,Rush Yards,20,1000,980
Josh Cameron,JAX,WR,Receiving Yards,20,1000,980
Bhayshul Tuten,JAX,RB,Receiving Yards,19,1000,981
Cam Skattebo,NYG,RB,Receiving Yards,19,1000,981
Jalen Coker,CAR,WR,Pass Yards,19,1000,981
Jonah Coleman,DEN,RB,Receiving Yards,19,1000,981
Dohnte Meyers,CIN,WR,Receiving Yards,18,1000,982
RJ Harvey,DEN,RB,Rush Yards,18,1000,982
Rashod Bateman,BAL,WR,Rush Yards,18,1000,982
Bijan Robinson,ATL,RB,Receiving Yards,1017,2000,983
Javonte Williams,DAL,RB,Receiving Yards,1017,2000,983
DK Metcalf,PIT,WR,Rush Yards,17,1000,983
Elijah Arroyo,SEA,TE,Receiving Yards,17,1000,983
Nick Mullens,JAX,QB,Rush Yards,17,1000,983
Olamide Zaccheaus,ATL,WR,Rush Yards,17,1000,983
Tre Tucker,LV,WR,Receiving Yards,1016,2000,984
Brian Robinson Jr.,ATL,RB,Receiving Yards,16,1000,984
Daniel Jones,IND,QB,Receiving Yards,16,1000,984
Jack Strand,ATL,QB,Rush Yards,16,1000,984
James Cook III,BUF,RB,Receiving Yards,16,1000,984
Marlin Klein,HOU,TE,Receiving Yards,16,1000,984
Pat Bryant,DEN,WR,Rush Yards,16,1000,984
Chris Brooks,GB,RB,Receiving Yards,15,1000,985
Chris Godwin Jr.,TB,WR,Rush Yards,15,1000,985
Jordan James,SF,RB,Rush Yards,15,1000,985
Kyle Pitts Sr.,ATL,TE,Receiving Yards,15,1000,985
Rome Odunze,CHI,WR,Rush Yards,15,1000,985
Travis Kelce,KC,TE,Rush Yards,15,1000,985
Colson Yankoff,WSH,TE,Receiving Yards,14,1000,986
Deion Burks,IND,WR,Rush Yards,14,1000,986
Dontayvion Wicks,PHI,WR,Pass Yards,14,1000,986
Isaiah Williams,NYJ,WR,Rush Yards,14,1000,986
Jadarian Price,SEA,RB,Receiving Yards,14,1000,986
Khalil Shakir,BUF,WR,Rush Yards,14,1000,986
Nico Collins,HOU,WR,Rush Yards,14,1000,986
Tyrone Tracy Jr.,NYG,RB,Rush Yards,14,1000,986
Zachariah Branch,ATL,WR,Receiving Yards,14,1000,986
KhaDarel Hodge,SF,WR,Receiving Yards,1013,2000,987
Alvin Kamara,NO,RB,Pass Yards,13,1000,987
Brenen Thompson,LAC,WR,Receiving Yards,13,1000,987
Jaylin Noel,HOU,WR,Rush Yards,13,1000,987
Mark Andrews,BAL,TE,Rush Yards,13,1000,987
Matthew Hibner,BAL,TE,Receiving Yards,13,1000,987
Stefon Diggs,WSH,WR,Pass Yards,13,1000,987
Stetson Bennett IV,LAR,QB,Pass Yards,13,1000,987
Troy Franklin,DEN,WR,Rush Yards,13,1000,987
Chris Rodriguez Jr.,JAX,RB,Receiving Yards,12,1000,988
Hollywood Brown,PHI,WR,Rush Yards,12,1000,988
Jared Goff,DET,QB,Receiving Yards,12,1000,988
Jordan Whittington,LAR,WR,Rush Yards,12,1000,988
Josh Allen,BUF,QB,Receiving Yards,12,1000,988
Konata Mumpfield,LAR,WR,Receiving Yards,12,1000,988
Rashod Bateman,BAL,WR,Receiving Yards,2011,3000,989
Carson Wentz,MIN,QB,Receiving Yards,11,1000,989
Corey Kiner,NE,RB,Rush Yards,11,1000,989
Dak Prescott,DAL,QB,Receiving Yards,11,1000,989
Geno Smith,NYJ,QB,Receiving Yards,11,1000,989
Ja'Kobi Lane,BAL,WR,Receiving Yards,11,1000,989
Romeo Doubs,NE,WR,Rush Yards,11,1000,989
Tommy Tremble,CAR,TE,Rush Yards,11,1000,989
Brock Purdy,SF,QB,Pass Yards,10010,11000,990
Dohnte Meyers,CIN,WR,Rush Yards,10,1000,990
Isaiah Bond,CLE,WR,Receiving Yards,10,1000,990
Mike Evans,SF,WR,Rush Yards,10,1000,990
Nicholas Singleton,TEN,RB,Rush Yards,10,1000,990
Dawson Knox,BUF,TE,Rush Yards,9,1000,991
Garrett Wilson,NYJ,WR,Rush Yards,9,1000,991
Jake Briningstool,KC,TE,Receiving Yards,9,1000,991
KC Concepcion,CLE,WR,Rush Yards,9,1000,991
Keon Coleman,BUF,WR,Rush Yards,9,1000,991
Lan Larison,NE,RB,Receiving Yards,9,1000,991
Makai Lemon,PHI,WR,Receiving Yards,9,1000,991
MarShawn Lloyd,GB,RB,Receiving Yards,9,1000,991
Nate Boerkircher,JAX,TE,Receiving Yards,9,1000,991
Sam Roush,CHI,TE,Receiving Yards,9,1000,991
Stetson Bennett IV,LAR,QB,Rush Yards,9,1000,991
Bam Knight,ARI,RB,Receiving Yards,8,1000,992
Cole Kmet,CHI,TE,Rush Yards,8,1000,992
Jaylen Wright,MIA,RB,Receiving Yards,8,1000,992
Kenny Gainwell,TB,RB,Receiving Yards,8,1000,992
Oscar Delp,NO,TE,Receiving Yards,8,1000,992
Patrick Mahomes,KC,QB,Receiving Yards,8,1000,992
Travis Hunter,JAX,WR,Receiving Yards,8,1000,992
Amon-Ra St. Brown,DET,WR,Pass Yards,7,1000,993
Chimere Dike,TEN,WR,Receiving Yards,7,1000,993
Chris Olave,NO,WR,Rush Yards,7,1000,993
Colbie Young,CIN,WR,Receiving Yards,7,1000,993
Kevin Austin Jr.,NO,WR,Receiving Yards,7,1000,993
Michael Wilson,ARI,WR,Rush Yards,7,1000,993
Ollie Gordon II,MIA,RB,Rush Yards,7,1000,993
Olamide Zaccheaus,ATL,WR,Receiving Yards,2006,3000,994
Adonai Mitchell,NYJ,WR,Rush Yards,6,1000,994
Baker Mayfield,TB,QB,Receiving Yards,6,1000,994
CJ Donaldson,NO,RB,Rush Yards,6,1000,994
Chig Okonkwo,WSH,TE,Rush Yards,6,1000,994
Deshaun Watson,CLE,QB,Receiving Yards,6,1000,994
Devin Singletary,NYG,RB,Pass Yards,6,1000,994
Jahan Dotson,ATL,WR,Rush Yards,6,1000,994
Jalen Royals,KC,WR,Receiving Yards,6,1000,994
Malik Benson,LV,WR,Receiving Yards,6,1000,994
Nate Adkins,DEN,TE,Rush Yards,6,1000,994
Tucker Kraft,GB,TE,Rush Yards,6,1000,994
Xavier Smith,LAR,WR,Receiving Yards,6,1000,994
Erick All Jr.,CIN,TE,Receiving Yards,5,1000,995
Jonathan Mingo,DAL,WR,Rush Yards,5,1000,995
Kaelon Black,SF,RB,Receiving Yards,5,1000,995
Raheim Sanders,CLE,RB,Rush Yards,5,1000,995
Alec Pierce,IND,WR,Receiving Yards,2003,3000,997
