Game ID,Week,Player,Team,Completions,Attempts,Pass Yards,Pass TD,Interceptions,Rush Attempts,Rush Yards,Rush TD,Total EPA,EPA/Play,Passer Rating
2026_02_MIN_CHI,2,C.Wentz,MIN,11,23,127,0,0,3,6,0,0.51,0.022,64.9
2026_02_MIN_CHI,2,C.Williams,CHI,15,29,118,0,1,5,42,0,-1.05,-0.036,47.8
2026_02_MIN_CHI,2,T.Bagent,CHI,5,10,45,0,0,0,0,0,-2.84,-0.284,62.5
2026_02_NO_BAL,2,L.Jackson,BAL,21,34,204,1,1,4,34,0,3.32,0.098,76.1
2026_02_NO_BAL,2,T.Shough,NO,27,37,233,1,0,9,23,1,10.93,0.295,98.1
2026_02_NYG_LA,2,J.Dart,NYG,3,5,20,0,0,0,0,0,-1.12,-0.223,68.8
2026_02_NYG_LA,2,J.Winston,NYG,11,29,110,0,1,2,1,0,-16.49,-0.569,35.1
2026_02_NYG_LA,2,M.Stafford,LA,22,32,318,4,1,4,-1,0,18.63,0.582,127.3
2026_02_PHI_TEN,2,C.Ward,TEN,13,22,169,0,0,4,7,2,-0.1,-0.004,83.3
2026_02_PHI_TEN,2,J.Hurts,PHI,26,40,252,2,2,5,16,0,8.77,0.219,78.3
2026_02_PIT_NE,2,A.Rodgers,PIT,23,43,144,0,1,1,5,0,-21.41,-0.498,50.9
2026_02_PIT_NE,2,D.Maye,NE,14,25,191,0,1,4,17,0,-1.26,-0.051,63.9
2026_02_PIT_NE,2,M.Rudolph,PIT,0,1,0,0,0,1,3,0,-0.42,-0.418,39.6
2026_02_SEA_ARI,2,D.Lock,SEA,19,27,219,3,0,0,0,0,16.09,0.596,131.6
2026_02_SEA_ARI,2,J.Brissett,ARI,17,30,81,1,1,1,7,0,-8.08,-0.269,59.0
2026_02_WAS_DAL,2,A.Williams,WAS,0,1,0,0,0,0,0,0,-0.58,-0.582,39.6
2026_02_WAS_DAL,2,D.Brown,WAS,1,1,0,0,0,0,0,0,-0.46,-0.465,79.2
2026_02_WAS_DAL,2,D.Prescott,DAL,26,33,266,4,0,4,26,0,15.1,0.458,139.8
2026_02_WAS_DAL,2,J.Daniels,WAS,11,17,96,1,0,7,69,0,0.18,0.011,99.1
2026_02_WAS_DAL,2,M.Mariota,WAS,11,16,111,1,0,1,3,0,6.73,0.421,109.1
